发布时间,微博内容,点赞数,评论数,转发数
2019-04-24,这些年来给大家推荐了很多优秀的戏剧作品，不知道你是否在坚持读书呢？#全民读书季# 为好书而读。我是@国家图书馆 今日全民读书推广特使，戳这里→全民读书季-papi酱专场 加入我的读书小组，我们一起感受阅读的力量！ ,14863,1386,762
2019-04-22,papi酱读书日特别篇——马上又是世界读书日啦！继过去几期莎翁悲剧、古希腊悲剧、曹禺正剧之后，我们今天为大家带来的是四部荒诞派戏剧代表作！真的很荒诞！完全看不懂！（明年读书日再见！❤️#全民读书季#@国家图书馆 papi酱的秒拍视频 ,57543,21348,15203
2019-04-16,我们05后都是这么可爱,11208,2214,1314
2019-04-15,我司男性疑惑之——女生为什么喜欢尖叫？  ,30403,2669,692
2019-04-10,问，为何我司上班时间没人工作都在吃？！//@霍泥芳霍主任:转+评 原微博，揪2个siǎo吃货，一人送一个papitube同款围裙～这围裙估计是绝版，之后有可能不做了,7692,450,229
2019-04-10,我讨厌春天  ,42212,3025,1902
2019-04-09,一个迷思🤔️  ,55297,3138,1274
2019-04-03,你妈也是这样吗？  ,51417,7155,2195
2019-04-02,👏🏻👏🏻👏🏻,19889,758,2671
2019-03-27,有人遇到过这样的傻X老板吗？  ,50118,2060,1428
2019-03-18,请原谅你身边有起床气的人  ,53823,5349,4928
2019-03-14,papi酱不定期更新的日常——老胡二三事之第三弹。好久没跟大家唠老胡了，今天趁着白色情人节，来唠2块钱的。（白色情人节快乐啊！（我不过节的，我加班（周末愉快哦～❤️ papi酱的秒拍视频 ,253978,23385,26434
2019-03-13,瘦子的痛苦谁能懂？反正我不懂。（此老胡非彼老胡,15646,2031,2619
2019-03-13,在我做视频的这些年里，我遇到很多的困难，也经历过很多的挫折，我始终觉得，只有把视频的内容做好，是对看我视频的朋友最大的尊重。时间流逝，氧化了很多东西，但是初心依旧，我的热情就不会消散，年轻是什么？是一个数字吗？我觉得不是，只要一直源源不断保持着一种蓬勃向上的精神，我就觉得我一直年 ...全文,26450,6768,2806
2019-03-09,如果你问我，这两年我是怎么支撑起繁重的工作，我会告诉你，我有我的底气。内在靠自己，外在靠@MaxFactor蜜丝佛陀 美出我底气。「努力」、「天赋」、「挑战」就是我的底气关键词，那么你的关键词是什么呢？底妆专家蜜丝佛陀超硬核的底妆产品烟酰胺粉底液、闪耀小白盒，让你养肤润燥，实力持妆，光感 ...全文,17669,4037,1465
2019-03-08,papi酱不定期更新的日常——很久没拍日常啦，今天借着三八妇女节和大家聊聊天。想对所有的妈妈们（和爸爸们）说： 你们的幸福和快乐并不应该100%来自子女，你自己的感受，很重要。我们爱你们，所以希望你们能为自己本身而快乐。（祝所有女儿们和妈妈们节日快乐哦！papi酱的秒拍视频 ,336919,28445,56795
2019-03-01,你们对小咪是真的有滤镜啊！她都这样了你们还能夸可爱啊？！？！怎么没有人夸她的主人啊！她主人才是真的好可爱好可爱啊！！,16173,1276,909
2019-02-25,papi酱的吸猫放送——我的妈妈，在语言表达上，“天赋”异禀。随便几句话就能把我说的欲哭无泪 。你还记得被妈妈的话语支配的恐惧么…（猪年第一更，给各位拜个晚年！（新的一年也要对爸妈的健康心里有数哦！ papi酱的秒拍视频 ,101450,23344,20017
2019-02-17, ,99105,12158,2512
2019-02-14,在我们上班族眼里，没有情人节，只有周四。 ,85178,3554,2126
2019-02-07,一个红包的流浪，总有中间商赚差价  ,39648,1402,758
2019-02-04,给大家拜年了——今天就是大年三十了，新的一年里在此恭㊗您 除夕🍚 ㊗您团聚香甜🍲  初一🌸 ㊗您喜庆新春🌸  初二💰 ㊗您福贵🈵 堂💰  初三✨㊗您福慧双增✨ 初四🍊 ㊗您大吉大利🍊  初五💹 ㊗您🈵 载而归🎁  初六🌺 ㊗您春风🈵 面🐷  初七㊗🎂 您天天快乐🎂  初 ...全文,49937,2651,451
2019-02-03,Papi酱春节五天乐——“来就来嘛，还带东西！”可是大过年的走亲访友怎么能空着手？大礼包保健品都太普通，女明星这次为大家带来了一首她的新歌，希望大家会喜欢。#春晚# （本期是春节五天乐的最后一天，祝大家新年快乐啦！猪年再见❤️ papi酱的微博视频 ,95976,10233,11463
2019-02-03,你们玩得好开心呢！邮轮看上去好棒呢！食物看上去都好好吃呢！那时留在北京加班的我也很开心呢 #年前集体离职#,11323,514,283
2019-02-02,Papi酱春节五天乐——有这么一个人，她在哪里，记者就在哪里，她就是“女明星”，所以女明星过春节大概是这个样子的吧？（其实我们每个人春节回家都像是开了一场记者招待会，亲戚们和记者们的问题也都差不多，那就请大家把自己当成明星，宠一下你们的亲戚“粉丝”们吧#春晚# papi酱的微博视频 ,61391,5031,3044
2019-02-01,papi酱春节五天乐---春节期间，欢声笑语，其乐融融！可关于亲戚间收发红包的诈骗事件却屡屡发生！如何在春节期间保证红包的正常收取，本期视频即将为您敲响新年的第一个警钟！！！#春晚# （这是五天乐的第三天，还有2天 papi酱的微博视频 ,63444,8770,6045
2019-01-31,papi酱春节五天乐——春节是一个喜庆的节日，可是，总有一群返乡的年轻人与这份喜庆格格不入，他们用尬聊和假笑伪装着自己……视频中的这位青年叫小pa，让我们走进她的内心世界。（关爱返乡青年，从你我做起（这是五天乐的第二天，还有三天 papi酱的微博视频 ,94612,14702,14828
2019-01-30,哎呀3000万粉丝了，那么...大家有什么福利想送给我吗？ ,86583,87943,31519
2019-01-30,papi酱春节五天乐——过年最盛大的活动就是走亲戚串门了。如何在走亲戚的过程中做一个大家都喜欢的好亲戚呢？本期视频我们将共同学习过年期间的行为规范，让我们，做文明人，串文明门，当素质亲戚，过欢乐春节！#春晚# （这是五天乐的第一天，还有四天 papi酱的微博视频 ,102371,16423,22636
2019-01-28,papi酱的周一放送——快过年了！欢迎收看《姜家又一年》，我们陪您，过！大！年！！今天的节目中，我们将和您一起探秘姜家联欢会的彩排现场，更有联欢会节目单惊喜曝光，大家千万不要错过哦~（给大家拜个早年，春节快乐！ papi酱的秒拍视频 ,137318,50468,33669
2019-01-25,我的专属#发财扭蛋机#上线了，我在扭蛋机里放进了专属祝福，祝你新年【发财】~集齐9款不同扭蛋，除夕还有机会赢2019元超大红包哦~快来召集小伙伴一起玩吧！@让红包飞 发财扭蛋机 ,14740,798,513
2019-01-05,布小谷加油！周冬雨加油！期待今晚你们二人的表现！,13763,748,629
2019-01-04,好看的内容源自有趣的灵魂，1月11日，2018#微博之夜#，和我一起发现更多精彩@微博之夜 ,26478,799,187
2019-01-01,2019年，你们也要幸福啊！！！！！！！//@papi酱:2018年，你们也要幸福啊！！！！！！！,78473,3152,14210
2018-12-31,憋说那些没用的，快请客快请客快请客快请客快请客快请客,24437,1348,1130
2018-12-29,察觉时，我发现自己不再年轻了。（papi酱2018年的最后一个视频，来聊聊天吧（2019年再见，提前给您拜个早旦！假期愉快❤️ papi酱的秒拍视频 ,210970,112730,84906
2018-12-25,转发拉低中奖率,7403,1197,1222
2018-12-19,🐴给各位奶茶女孩！//@papitube:想对先森说一句，来北京给小布布做一杯吧papitube#papitube美食#,9365,561,3138
2018-12-18,因为专业，所以精彩。12月23日我在微博视频生态论坛等你哟~#视频V势力##花样追大V# 戳此接听你爱豆(我)的电话→ 爱豆来电话啦！ papi酱的微博视频 ,12153,688,970
2018-12-13,铭记历史，守望和平,11075,171,613
2018-12-11,前两年，我还是3米20岁，就是隔着3米看我，以为我20岁。这两年，隔着屏幕都没有人相信我20岁了。30岁真的是一道坎，过敏很难好，细纹越来越多，护肤品用得也比以前快了。最近芳芳给我带来了胶原蛋白，半年后我又是一位5米20岁的少女了！（目测霍泥芳将在10秒内赶到评论区(￣ー￣) ,44864,7365,12109
2018-12-10,papi酱的周一放送——这期视频我们拍了N个“广告”，取材来源于我的亲身经历，但高于亲身经历，如有雷同，那我们可能碰到的是同一个客户吧哈哈哈哈（这个视频拍完将近2个月，原本指望哪家毛巾客户投个广告就存着没发，难过（好久不见，甚是想念，祝周一快乐❤️papi酱的秒拍视频 ,65674,19315,12776
2018-12-08,支持曹导，支持《狗十三》//@赵薇:支持导演，超期待！《狗十三》,6731,383,285
2018-12-06,#12.12为生活加点儿电# 这几位朋友，平时看不出来啊，竟然有这么多神仙操作……,6000,1597,1576
2018-12-06,大浪逐新，致敬影响力，新浪20周年快乐～未来的日子，也让我们一起努力吧❤️,31563,1885,1587
2018-12-04,我妈，带着对女儿的心疼，走进了KTV的大门😭（希望所有父母们都能这样，有自己愉快独立的生活，这样我们做子女的也会更安心。 ,113610,5543,3236
2018-11-30,我本科毕业9年搬了6次家，每次都是一个新的开始，加油（此老胡非彼老胡,16097,1170,1256
2018-11-30,燃点🔥来了（1.11见,5365,364,279
2018-11-26,pcpi不是我啊朋友们。。。 ,32497,3549,366
2018-11-21,刚！！！,32895,588,548
2018-11-05,papi酱的周一放送——马上又是一年一度的双拾壹了！网购战争即将打响！这是对头脑与手速的双重考验，这是策略与耐力的深刻较量！你，准备好要血拼了吗？冲啊！（祝大家周末买得开心！ papi酱的秒拍视频 ,104988,54821,32846
2018-10-30,支持《唐砖》支持晓龙老师！我追剧去辣！,5649,314,108
2018-10-29,papi酱的周一放送——作为医院的常客，我发现很多时候大夫和病人的关系，很像明星与粉丝的关系！于是有了这期“姜大夫！看看我吧！！”的脑洞小剧场！（祝大家一周&周一愉快！身体健康！ papi酱的秒拍视频 ,117432,27459,21499
2018-10-22,很久很久以前有一个美少女（我），在某个星期一的早晨，美少女（我）收到了一份魔法礼物，从那天起，那位少女（我）时而美丽动人、时而聪慧过人、时而可爱迷人、时而发出感叹：多几个摄像头拍照就是不一样！！！希望大家都能收到“全球首款滑屏手机”荣耀Magic2这样的礼物！！ ,51471,17863,7727
2018-10-18,有趣！谁来买一下舒惠的版权？,15547,1182,1607
2018-10-16,#1022京东电脑数码超级粉丝日# 数码狂热粉の追星现场,10866,2114,1391
2018-10-15,papi酱的周一放送——本期视频讲述了一个一波三折、起伏跌宕、悬念迭出的无聊故事（彩蛋有神秘人物（祝大家一周&周一愉快❤️ papi酱的秒拍视频 ,144211,28139,33602
2018-10-10,焦女士摄影作品 查看图片 //@焦俊艳:我和我姐们儿，很有纪念意义的一次拍摄，开熏。,18685,866,357
2018-10-05,今晚的#奇葩说#大家看了吗？“键盘侠是不是侠”并不重要，重要的是不要为了在网上发泄自己的情绪而伤害到别人。如果大家都能在#打字之前想3秒#，也许这个世界上就能少一些键盘侠吧？再次祝大家国庆（在家上网）快乐！ ,58229,2413,630
2018-10-01,我从gif中听到了吵闹的猫叫（祝大家国庆快乐！！,14244,562,626
2018-09-29,本来是抱着见见世面的态度去的#奇葩说# ，没想到被@马东  问了几个问题之后就感觉自己智商不够用了，我到底胡说八道了些什么你们都别告诉我。我只想说，马还是老的辣。（我今晚断网，请不要联系我  奇葩说第5季之臧鸿飞首曝离婚净身出户 papi酱收入竟是老公十倍 ,15483,914,344
2018-09-26,papi酱突然更新的放送——我出门了！这次去了一个特别的地方，先睹为快地看了即将上映的《影》，随后见了一位特别的人！那个人是谁呢？大家猜一下吧！（是张艺谋导演 papi酱的秒拍视频 ,93056,9062,7788
2018-09-22,猫型拖拉机,12631,649,535
2018-09-17,papi酱的周一放送——秋意渐浓，追剧甚欢，不禁开了个脑洞：职场如后宫，一入深似海！职场上的勾心斗角、尔虞我诈你见过吗？（最近更新这么勤，大家开不开心？为自己鼓鼓掌👏祝大家周一快乐！  papi酱的秒拍视频 ,150078,41212,33251
2018-09-11,拥有了小8和大8的姜女士过上了幸福快乐的生活。如此超高屏占比、超级性价比的荣耀8X和8X max，你不来一台吗？（7号的视频还在抽奖哦嘿嘿嘿嘿嘿嘿,11246,1986,705
2018-09-10,papi酱的周一放送——pa老师的小课堂又回来了！同学们，你们知道什么是ky吗？上好今天这堂KY课，老师保你以后出门不怕没人揍你！（今天是教师节，祝老师们节日快乐！（祝大家出门不要碰到KY papi酱的秒拍视频 ,74589,9195,8533
2018-09-07,大家好我papi酱又回来了！！——对于现代人来说，手机天天被我们捧在手心里，与我们的亲密程度，堪比我们的孩子！如果有一天，我的手机不见了……QAQ（大家好久不见啊！祝你们周末愉快！papi酱的秒拍视频 ,193276,129905,88054
2018-08-31,嘿嘿嘿嘿嘿(//∇//),32898,2669,933
2018-08-17,这是老胡今年送给我的结婚纪念日礼物。这是自行车头套。祝大家七夕快乐。 ,234011,16024,2226
2018-08-09,没有办法，我就是这么强大！,30474,1302,695
2018-08-07,转需（来自被小咪咬过无数次的我,21506,1665,7862
2018-08-03,围观神仙化妆（欢迎宇芽加入papitube！！//@papitube:给我们papitube的仿妆蒙娜丽莎大神@宇芽YUYAMIKA 打call看看她还仿妆了谁？,15778,795,866
2018-08-01,不要再喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵喵了！！！！！,27482,1195,854
2018-08-01,致敬中国军人🇨🇳,47706,655,1647
2018-07-27,“今天的天气也太适合在家睡觉了吧。”每一天的我都这样想。 ,96807,5168,1676
2018-07-23,papi酱的周一放送——要在炎热的夏天，做一名精致的都市丽人，真、的、很、麻！烦！入伏之后实在是太热了，可我们依然要保持自己的精致不动摇。（但我最近开始动摇了（夏日威胁了我的精致（大家周一快乐哦！请注意防暑防晒！papi酱的秒拍视频 ,185742,43308,30960
2018-07-22,//@何炅:除了一查到底，也希望有专家能给出补救方案，如果是打了造假疫苗该怎么做？？？,23190,1320,1672
2018-07-19,前两天，我怀着愉快的心情去了重庆。 papi酱的微博视频 ,158008,21535,9047
2018-07-11,是什么！让宅出了风采的我走出了家门？是金色的BMW X2！和现场好喝的咖啡！参观BMW X2快闪体验店的我依然很美！也只有X2这种颜值的朋友敢和我合影了！#反其道而型# ,25353,2297,1573
2018-07-09,各种人的游客照了解一下  ,136726,8346,6375
2018-07-06,papi酱突然更新的放送——你妈永远是对的，女朋友永远是对的，裁判永远是对的！那么让永远占理的人都去当世界杯裁判会是什么样的呢？（祝大家周末愉快！一起看四分之一决赛！  papi酱的秒拍视频 ,185515,34391,28405
2018-06-28,前几天和团队一起去度假，一到，我们就架起烧烤架开始露天烤海鲜。吃完烧烤，所有人身上又是汗味又是油烟味，只有美丽的我依然香喷喷，这都归功于霍主任送的衣服香水，飞行6个小时依然香气不减。 于是同事们拍桌而起，拿走了我唯二的2瓶留香珠：）谁能帮我艾特一下品牌，催一下他们赶紧帮我发货！ ,41721,8299,3041
2018-06-19,papi酱的周一放送——我们女人都超爱世界杯，真的很爱世界杯，即使不看球，我们也非常热爱世界杯！（今天是MC papi！（本期视频很土酷（我知道今天是周二，但是对于我来说工作日的第一天都算周一QAQ  papi酱的秒拍视频 ,215858,44294,82833
2018-06-14,papi酱的吸猫放送——脑洞小剧场：如果面试官和各种职业混搭会是什么样的呢？试问，谁不想碰到这样的面试官呢？！（提前祝大家端午节快乐！  papi酱的秒拍视频 ,165366,43257,47306
2018-06-12,get梅西同款纯甄酸奶，是不是四舍五入等于我进世界杯了~ 查看图片,9149,327,189
2018-06-04,papi酱的高考特别篇——还记得被教辅资料、全真题支配的恐惧吗？！致那些年我们一起做过的题！！（祝考生们以轻松的心态迎接高考！取得理想的成绩！ papi酱的秒拍视频 ,139681,17488,15768
2018-06-01,papitube“小”家庭和签约博主们一起成长，两岁已经不“小”了！！却亲密如初，初心如旧！（p图只p自己的事情我们从来不干！美图T9智能摄影师，拒绝塑料情！ ,90616,6411,2175
2018-06-01,papitube两周年了，感谢那么多优秀的作者加入我们这个大家庭，也感谢所有一直支持着我们的粉丝，因为有你们的存在，我们才能越来越好。爱你们！！,20812,395,218
2018-05-31,papi酱的吸猫放送——好久不见，pa老师的恋爱课堂开课了！谈恋爱难吗？谈得好的都不难！谈恋爱的重点、难点、易错点到底在哪里？女朋友问你的这些问题，到底怎么回答？都给我好好听pa老师讲课！！（明天就是六一儿童节了，相信依然会有人过成情人节。  Papi酱的秒拍视频 ,215573,92979,70925
2018-05-23,我们papitube两周年啦！！视频里有多少个你眼熟的博主？？#papitube#,18218,1009,435
2018-05-12,//@系录芥末_通贩看置顶:十年了🙏//@巧妙学英文:🙏,32700,381,3528
2018-05-04,捡橘猫前一定要做好心理准备...//@papi家的大小咪:加油！你们也会有猫的！！,18568,701,3239
2018-05-03,后天19:00网络青晚见 ~,7743,274,98
2018-05-02,那个...7天以后不做会反弹吗？ //@papitube:好神奇啊！今晚就试试看,24551,1946,6763
2018-04-30,papi酱的周一放送——欢迎收看今天的《姜家新闻》，本期节目的主要内容有……如果每个家庭都有自己的电视台，每天都有这样一档新闻节目，专门报道家庭成员的小事、琐事、身边事，一定会非常有趣。（周一快乐！五一快乐！❤️papi酱的秒拍视频 ,173463,45177,33816
2018-04-26,我的“理想型爱人”长这样，果然就是老胡本胡了。人们常说不同的选择会带来不同的遇见，而对的那个人总会在那里等我（比如老胡），这是30岁的我发现的生活真相之一，and you？戳这里网页链接，看看你将会遇见谁吧！无论遇见谁，都先来#天猫小黑盒#遇见怡丽丝尔眼唇霜吧！ ,19960,3049,873
2018-04-23,papi酱的周一放送——又是一年一度的世界读书日啦！过去我为大家介绍过四部莎氏悲剧、四部古希腊悲剧，今年为大家带来的是——中国剧作家曹禺先生的作品！（时间有限，视频里很多细节我们交代得不清楚，有兴趣的朋友们还是推荐读一读原著啦~（明年读书日见！❤️  papi酱的秒拍视频 ,132658,22300,21516
2018-04-20,#21岁的我#和我的同学们，各自怀揣着梦想，还不知道前路有多少艰辛。如今这些人中，有的成了导演，有的成了演员，有的改了行，而我，成为了一个拍短视频的创业者。不过，其中有一位同学成就最高：成为了我的丈夫。我们都在实现梦想的路上努力前行。那么你呢#新青年#？ 21岁，你在干什么？ 查看图片,16487,2427,438
2018-04-19,没想到有一天我也会有我的特别定制！！哈哈哈哈哈！！蜜丝佛陀#蜜吻小海绵#4.19唯品会了解一下！四舍五入等于不要钱！和我一起#释我的唇色#！,22321,1137,1375
2018-04-16,papi酱的周一放送——我们的妈妈们，总是对吃，有着一股异于常人的执念。在你妈妈眼里，你吃的东西都是垃圾！乐色！rubbish！只有妈妈做的饭才是好单纯、好健康，跟外面那些添加剂防腐剂地沟油完全不一样！（吃了十年外卖的我突然觉得确实是家里的饭比较好吃（周一快乐！❤️  papi酱的秒拍视频 ,226542,96525,63869
2018-04-11,大家一定要保护好自己啊！,39740,2709,4623
2018-04-10,快来报名参赛吧！代表中国青年，向世界发声！我在这里等你！,11692,544,132
2018-04-09,papi酱的周一放送——今天是一个特殊的日子，我们的爱豆pa酱，被对家pi酱的粉丝黑了！我们要为pa酱，打一场大胜call！（珍惜爱豆，理智追星！祝大家都能获得love&peace～（我回来啦！周一快乐❤️  papi酱的秒拍视频 ,187308,111558,84665
2018-04-08,明天18点准时上新 。不对，更新！明天见啦～ ,32320,1562,147
2018-04-04,北京大雪，我带你去浪漫的绿幕玩 查看图片,63147,1505,211
2018-03-16,周末好！大家好久不见～我知道有很多人在催更，所以，你们听我解释！是这样的，我前些日子身体抱恙，去做了个小手术。手术很成功，现已恢复至八九成，很快我们就又能见面啦！感谢大家这些日子的关心、等待&催更，我无时无刻不在思念你们！最后，大家都要注意身体健康，按时体检，有病及时去医院啊！❤ ...全文,100890,10083,1134
2018-03-10,右边这张图真的伤透了我的心T_T//@陈半边：可以死心了 评论配图,35804,2136,1296
2018-03-03,新的一年，我依然这么美！！！你们可能也想要一个这样的朋友@MaxFactor蜜丝佛陀 ！有了这位“耀”你好看的挚友，你也能“亮”出自己的本色！点击链接网页链接观看我的本色“大片”，和我一起当闪耀的大！美！女！（感谢把我拍和P得那么美的老师们，狗年好运伴随着你们！） ,50507,5933,2414
2018-03-02,好可爱啊啊啊啊啊啊！！！(≧∇≦)（大家元宵节记得吃汤圆or元宵哦！！！,39568,1965,3549
2018-02-23,看完最强大脑觉得自己是智障,50588,2748,3156
2018-02-17, ,224673,23778,4025
2018-02-16,携大小咪祝大家新年快乐！ 查看图片,109123,2050,295
2018-02-15,想要这种美丽梦幻的拜年信息，我今年一条都没有收到，难过😢 ,99672,9974,718
2018-02-13,超想吃！！,30527,939,1618
2018-02-12,papi酱的周一放送——你开心或是不开心，亲戚总在那里，等着问你问题。令人不禁想问——“过年的意义到底是什么？”——本期视频带我们走近亲戚，揭露亲戚的内心世界。（鸡年最后一个视频啦！狗年再见！爱你们嗷！ papi酱的秒拍视频 ,379864,144728,113650
2018-02-09,papi酱突然更新的放送——我们所有人在自己父母眼中都是不完美的，那么父母眼中的完美小孩到底是什么样的呢？（这样的完美小孩，你爸妈会喜欢吗？（我妈一定会超喜欢的！（听说很多人开始春节假期了，而我还在工作T_T  papi酱的秒拍视频 ,361901,91358,77468
2018-02-06,所长到底每天都在研究些什么？！//@papitube:所长这个男人，在探索女性用品的道路上越走越远…卫生棉条知识get,32698,4277,2426
2018-02-05,papi酱的周一放送——等我们这一代人，未来做了家长，会是什么样的呢？（我怀疑，老胡以后可能会拉着孩子陪他一起玩游戏（周一&一周愉快咯！ papi酱的秒拍视频 ,300579,82464,70365
2018-01-26,战队红包 ,26689,1070,330
2018-01-24,#papi酱的红包#今天是腊八节，给大家拜个早年、发个红包！请尽情自取～（我拜年为什么还要我发红包？！@让红包飞 papi酱的秒拍视频 ,97289,9206,6604
2018-01-22,papi酱的周一放送——已经工作的朋友们，你们有没有遇到过这样的老板？他们时不时就让你很茫然、很无奈、很不知所措…还没有工作的小朋友也不要难过，你们总有一天会遇到的🙂（周一快乐！这周也要拥抱工作，爱老板（我是老板，我爱我自己！ papi酱的秒拍视频 ,210688,83926,64624
2018-01-15,papi酱的周一放送——打扫卫生的时候我在想什么？我，一名热爱打扫卫生的优雅少女！打扫卫生是一种身心的修行！一场美丽的邂逅！一段婚姻的调味料！（说得我自己都信了呢！祝大家一周愉快！周末你打扫卫生了吗？ papi酱的秒拍视频 ,277118,147807,128726
2018-01-12,papi酱不定期更新的放送——话说，有很多人都说宠物就像我们的孩子一样，那么，如果我们真的把宠物当成孩子，会是什么样的呢？（重点高亮：宠物不是物件，一旦选择，请负责到底。（另，接我上条的转发微博，就算猫狗不是你的孩子也请别伤害。 Papi酱的秒拍视频 ,185486,17479,18422
2018-01-09,想要一台娃娃机！！//@papitube:抓娃娃的所有诀窍都在这了！快拿去洗劫各大商场电影院游戏厅的抓娃娃机！,24026,3122,3187
2018-01-01,起名字的时候我为什么这么不用心T_T ,233223,58087,15731
2018-01-01,2018年，你们也要幸福啊！！！！！！！,212031,6467,16482
